01/03/2014;5482
01/04/2014;5483
01/05/2014;5484
01/06/2014;5485
01/07/2014;5486
01/09/2014;5488
01/10/2014;5489
01/11/2014;5490
01/13/2014;5492
01/14/2014;5493
01/15/2014;5494
01/16/2014;5495
01/18/2014;5497
01/19/2014;5498
01/20/2014;5499
01/21/2014;5500
01/23/2014;5502
01/26/2014;5505
01/27/2014;5506
01/28/2014;5507
01/30/2014;5509
01/31/2014;5510
02/01/2014;5511
02/02/2014;5512
02/03/2014;5513
02/04/2014;5514
02/06/2014;5516
02/07/2014;5517
02/08/2014;5518
02/11/2014;5521
02/12/2014;5522
02/14/2014;5524
02/15/2014;5525
02/16/2014;5526
02/17/2014;5527
02/18/2014;5528
02/20/2014;5530
02/21/2014;5531
02/22/2014;5532
02/23/2014;5533
02/24/2014;5534
02/27/2014;5537
03/01/2014;5539
03/02/2014;5540
03/03/2014;5541
03/04/2014;5542
03/05/2014;5543
03/07/2014;5545
03/10/2014;5548
03/11/2014;5549
03/14/2014;5552
03/15/2014;5553
03/16/2014;5554
03/17/2014;5555
03/18/2014;5556
03/19/2014;5557
03/21/2014;5559
03/22/2014;5560
03/23/2014;5561
03/24/2014;5562
03/25/2014;5563
03/26/2014;5564
03/28/2014;5566
03/29/2014;5567
03/30/2014;5568
03/31/2014;5569
04/01/2014;5570
04/02/2014;5571
04/03/2014;5572
04/04/2014;5573
04/05/2014;5574
04/06/2014;5575
04/07/2014;5576
04/08/2014;5577
04/11/2014;5580
04/12/2014;5581
04/13/2014;5582
04/15/2014;5584
04/16/2014;5585
04/18/2014;5587
04/19/2014;5588
04/20/2014;5589
04/21/2014;5590
04/22/2014;5591
04/23/2014;5592
04/25/2014;5594
04/26/2014;5595
04/28/2014;5597
04/29/2014;5598
04/30/2014;5599
05/02/2014;5601
05/03/2014;5602
05/04/2014;5603
05/05/2014;5604
05/06/2014;5605
05/07/2014;5606
05/08/2014;5607
05/09/2014;5608
05/10/2014;5609
05/11/2014;5610
05/12/2014;5611
05/13/2014;5612
05/14/2014;5613
05/16/2014;5615
05/17/2014;5616
05/18/2014;5617
05/19/2014;5618
05/20/2014;5619
05/21/2014;5620
05/22/2014;5621
05/23/2014;5622
05/24/2014;5623
05/25/2014;5624
05/26/2014;5625
05/27/2014;5626
05/28/2014;5627
05/30/2014;5629
05/31/2014;5630
06/01/2014;5631
06/02/2014;5632
06/03/2014;5633
06/04/2014;5634
06/06/2014;5636
06/07/2014;5637
06/08/2014;5638
06/09/2014;5639
06/10/2014;5640
06/13/2014;5643
06/14/2014;5644
06/15/2014;5645
06/16/2014;5646
06/17/2014;5647
06/18/2014;5648
06/20/2014;5650
06/21/2014;5651
06/22/2014;5652
06/23/2014;5653
06/24/2014;5654
06/25/2014;5655
06/27/2014;5657
06/28/2014;5658
06/29/2014;5659
06/30/2014;5660
07/01/2014;5661
07/02/2014;5662
07/04/2014;5664
07/05/2014;5665
07/06/2014;5666
07/07/2014;5667
07/08/2014;5668
07/09/2014;5669
07/11/2014;5671
07/12/2014;5672
07/13/2014;5673
